統合ID,文字,光武帝紀,字体数,用例数,部首
07180,猛,0904,1,2,094
07259,率,0905,1,25,095
07389,璽,0906,1,3,096
07262,王,0907,1,79,096
07287,珍,0909,1,2,096
07437,甄,0910,1,2,098
07457,甚,0911,1,7,099
07461,生,0912,1,11,100
07478,田,0913,1,5,102
07530,異,0914,1,9,102
07481,申,0915,1,7,102
07480,甲,0916,1,14,102
07508,留,0917,1,6,102
07479,由,0918,1,2,102
07535,當,0919,1,8,102
07522,略,0920,1,2,102
07548,疆,0921,1,2,102
07707,發,0922,1,12,105
07706,登,0923,1,3,105
07703,癸,0924,1,5,105
07709,白,0925,1,2,106
07710,百,0926,1,14,106
07718,皇,0927,1,9,106
07771,盜,0928,1,4,108
07759,益,0929,1,3,108
07756,盆,0930,1,2,108
07779,盡,0931,1,6,108
07770,盛,0932,1,5,108
07785,盧,0933,1,3,108
07861,睢,0934,1,5,109
07844,眾,0935,1,21,109
07807,省,0936,1,2,109
07813,眉,0937,1,16,109
07801,相,0938,1,10,109
07937,矢,0939,1,2,111
07941,知,0940,1,7,111
07954,石,0941,1,5,112
07986,破,0942,1,44,112
08124,神,0943,1,4,113
08101,社,0944,1,5,113
08117,祖,0945,1,7,113
08126,祠,0946,1,5,113
08112,祐,0947,1,5,113
08135,祭,0948,1,6,113
